level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,640,640,-1,
2,1,1,0,0,0,188,24,228,16,-1,
3,1,1,1,0,0,188,24,228,16,-1,
4,1,1,1,1,0,188,24,228,16,-1,
5,1,1,1,1,1,188,25,95,15,96,BREAKING
5,1,1,1,1,2,296,25,35,14,95,THE
5,1,1,1,1,3,345,24,71,15,93,STATUE
2,1,2,0,0,0,151,110,312,402,-1,
3,1,2,1,0,0,154,110,225,17,-1,
4,1,2,1,1,0,154,110,225,17,-1,
5,1,2,1,1,1,154,111,8,13,94,i
5,1,2,1,1,2,177,114,44,10,91,have
5,1,2,1,1,3,237,111,69,16,96,always
5,1,2,1,1,4,321,110,58,14,96,known
3,1,2,2,0,0,152,130,311,158,-1,
4,1,2,2,1,0,154,130,285,18,-1,
5,1,2,2,1,1,154,131,8,14,94,i
5,1,2,2,1,2,178,131,45,17,94,just
5,1,2,2,1,3,236,131,70,14,96,didn't
5,1,2,2,1,4,320,130,119,14,96,understand
4,1,2,2,2,0,154,151,261,14,-1,
5,1,2,2,2,1,154,152,32,13,96,the
5,1,2,2,2,2,202,152,56,13,93,inner
5,1,2,2,2,3,273,151,142,14,92,conflictions
4,1,2,2,3,0,154,170,224,18,-1,
5,1,2,2,3,1,154,171,105,17,96,arresting
5,1,2,2,3,2,273,174,33,11,96,our
5,1,2,2,3,3,320,170,58,15,96,hands
4,1,2,2,4,0,154,192,284,17,-1,
5,1,2,2,4,1,154,192,129,17,96,gravitating
5,1,2,2,4,2,297,192,56,13,96,close
5,1,2,2,4,3,368,192,70,17,96,enough
4,1,2,2,5,0,153,212,310,17,-1,
5,1,2,2,5,1,153,212,103,17,92,expansive
5,1,2,2,5,2,272,212,93,14,91,distamce
5,1,2,2,5,3,379,212,84,14,96,between
4,1,2,2,6,0,154,232,283,18,-1,
5,1,2,2,6,1,154,233,8,13,92,i
5,1,2,2,6,2,178,232,91,15,92,couldn't
5,1,2,2,6,3,285,233,43,17,96,give
5,1,2,2,6,4,342,236,36,12,96,you
5,1,2,2,6,5,391,236,46,10,96,more
4,1,2,2,7,0,152,252,263,18,-1,
5,1,2,2,7,1,152,252,34,14,95,but
5,1,2,2,7,2,201,253,8,13,94,i
5,1,2,2,7,3,224,253,57,13,95,meant
5,1,2,2,7,4,296,253,119,17,95,everything
4,1,2,2,8,0,152,273,213,15,-1,
5,1,2,2,8,1,152,273,47,14,96,when
5,1,2,2,8,2,213,274,32,13,96,the
5,1,2,2,8,3,260,273,34,15,96,day
5,1,2,2,8,4,311,277,54,11,96,comes
3,1,2,3,0,0,152,293,225,16,-1,
4,1,2,3,1,0,152,293,225,16,-1,
5,1,2,3,1,1,152,296,35,13,95,you
5,1,2,3,1,2,200,293,46,14,95,find
5,1,2,3,1,3,258,297,47,12,96,your
5,1,2,3,1,4,318,293,59,14,96,heart
3,1,2,4,0,0,152,313,236,17,-1,
4,1,2,4,1,0,152,313,236,17,-1,
5,1,2,4,1,1,152,314,58,13,96,wants
5,1,2,4,1,2,226,313,104,17,96,something
5,1,2,4,1,3,342,317,46,11,96,more
3,1,2,5,0,0,152,331,273,56,-1,
4,1,2,5,1,0,153,331,272,16,-1,
5,1,2,5,1,1,153,331,46,14,96,than
5,1,2,5,1,2,213,334,10,10,91,a
5,1,2,5,1,3,236,331,56,16,91,viece
5,1,2,5,1,4,308,331,33,14,96,and
5,1,2,5,1,5,355,335,10,10,96,a
5,1,2,5,1,6,378,332,47,13,96,part
4,1,2,5,2,0,152,351,248,19,-1,
5,1,2,5,2,1,152,355,46,13,96,your
5,1,2,5,2,2,212,351,44,14,96,life
5,1,2,5,2,3,271,352,46,13,96,will
5,1,2,5,2,4,332,352,68,18,96,change
4,1,2,5,3,0,153,371,259,16,-1,
5,1,2,5,3,1,153,371,44,14,93,like
5,1,2,5,3,2,212,372,92,14,91,astatue
5,1,2,5,3,3,320,373,33,13,96,set
5,1,2,5,3,4,368,373,44,14,96,free
3,1,2,6,0,0,153,392,188,16,-1,
4,1,2,6,1,0,153,392,188,16,-1,
5,1,2,6,1,1,153,393,21,13,96,to
5,1,2,6,1,2,188,392,46,14,96,walk
5,1,2,6,1,3,248,396,58,12,96,among
5,1,2,6,1,4,318,397,23,10,94,us
3,1,2,7,0,0,154,413,199,16,-1,
4,1,2,7,1,0,154,413,199,16,-1,
5,1,2,7,1,1,154,413,21,13,95,to
5,1,2,7,1,2,189,413,85,14,93,created
5,1,2,7,1,3,283,414,70,15,91,estiny
3,1,2,8,0,0,151,432,298,80,-1,
4,1,2,8,1,0,152,432,297,18,-1,
5,1,2,8,1,1,152,436,22,10,96,we
5,1,2,8,1,2,188,432,68,16,96,didn't
5,1,2,8,1,3,270,433,58,15,96,break
5,1,2,8,1,4,343,439,34,11,96,any
5,1,2,8,1,5,391,436,58,14,96,rules
4,1,2,8,2,0,152,453,273,17,-1,
5,1,2,8,2,1,152,456,21,10,96,we
5,1,2,8,2,2,188,453,69,14,96,didn't
5,1,2,8,2,3,269,455,46,13,96,make
5,1,2,8,2,4,330,455,95,15,96,mistakes
4,1,2,8,3,0,152,472,274,21,-1,
5,1,2,8,3,1,152,472,70,14,95,making
5,1,2,8,3,2,235,472,71,16,95,beauty
5,1,2,8,3,3,320,474,22,14,96,in
5,1,2,8,3,4,355,474,71,19,96,loving
4,1,2,8,4,0,151,492,262,20,-1,
5,1,2,8,4,1,151,492,71,17,92,making
5,1,2,8,4,2,235,492,70,15,85,lovine
5,1,2,8,4,3,319,494,33,14,96,for
5,1,2,8,4,4,366,494,47,18,96,days
2,1,3,0,0,0,320,594,70,16,-1,
3,1,3,1,0,0,320,594,70,16,-1,
4,1,3,1,1,0,320,594,70,16,-1,
5,1,3,1,1,1,320,594,70,16,92,SHILOW
